avg_num_tags,views,video_id
21,12103805,3kRl7gkXdXM
11,12103616,knAYcg7Tt8E
21,12103555,fNwwt25mheo
1,12102833,jSQYTt4xg3I
20,12072314,sqgxcCjD04s
42,12070479,xI_lxFv203I
17,12058567,4RtsXnvVIk8
11,12052028,DKp5_euQfog
31,12036820,j1AuFXa_g0o
2,12036734,3l04R6SEtBY
3,12029976,VYEtNWp5VgA
26,12024063,qSldHWnxIGU
25,12003139,GjMmsEwIcl0
15,11990780,viM_c-Fc7sc
1,11925651,XXYxZySYeFU
22,11924431,90RLzVUuXe4
29,11902098,Wg86eQkdudI
27,11901641,VitJpehh0aM
21,11899946,sY8gUtyeAKE
13,11897224,UHiSc_M0xQU
40,11886686,T8PprcRWG5U
